2007,10,31,10,1854
2007,10,31,11,1542
2007,10,31,12,1177
2007,10,31,13,845
2007,10,31,14,601
2007,10,31,15,476
2007,10,31,16,536
2007,10,31,17,780
2007,10,31,18,1161
2007,10,31,19,1585
2007,10,31,20,1975
2007,10,31,21,2270
2007,10,31,22,2418
2007,10,31,23,2418
2007,11,1,0,2287
2007,11,1,1,2064
2007,11,1,2,1831
2007,11,1,3,1657
2007,11,1,4,1544
2007,11,1,5,1544
2007,11,1,6,1647
2007,11,1,7,1775
2007,11,1,8,1919
2007,11,1,9,1990
2007,11,1,10,1936
2007,11,1,11,1793
2007,11,1,12,1572
2007,11,1,13,1330
2007,11,1,14,1073
2007,11,1,15,876
2007,11,1,16,775
2007,11,1,17,818
2007,11,1,18,1003
2007,11,1,19,1292
2007,11,1,20,1623
2007,11,1,21,1949
2007,11,1,22,2193
2007,11,1,23,2332
2007,11,2,0,2359
2007,11,2,1,2261
2007,11,2,2,2095
2007,11,2,3,1885
2007,11,2,4,1696
2007,11,2,5,1564
2007,11,2,6,1503
2007,11,2,7,1537
2007,11,2,8,1619
2007,11,2,9,1718
2007,11,2,10,1811
2007,11,2,11,1834
2007,11,2,12,1788
2007,11,2,13,1674
2007,11,2,14,1493
2007,11,2,15,1299
2007,11,2,16,1119
2007,11,2,17,1013
2007,11,2,18,1029
2007,11,2,19,1140
2007,11,2,20,1370
2007,11,2,21,1662
2007,11,2,22,1958
2007,11,2,23,2188
2007,11,3,0,2343
2007,11,3,1,2370
2007,11,3,2,2291
2007,11,3,3,2133
2007,11,3,4,1894
2007,11,3,5,1661
2007,11,3,6,1460
2007,11,3,7,1334
2007,11,3,8,1326
2007,11,3,9,1400
2007,11,3,10,1565
2007,11,3,11,1721
2007,11,3,12,1816
2007,11,3,13,1850
2007,11,3,14,1793
2007,11,3,15,1683
2007,11,3,16,1511
2007,11,3,17,1345
2007,11,3,18,1206
2007,11,3,19,1149
2007,11,3,20,1227
2007,11,3,21,1414
2007,11,3,22,1678
2007,11,3,23,1945
2007,11,4,0,2168
2007,11,4,1,2348
2007,11,4,2,2369
2007,11,4,3,2260
2007,11,4,4,2050
2007,11,4,5,1774
2007,11,4,6,1486
2007,11,4,7,1230
2007,11,4,8,1105
2007,11,4,9,1107
2007,11,4,10,1226
2007,11,4,11,1434
2007,11,4,12,1657
2007,11,4,13,1839
2007,11,4,14,1946
2007,11,4,15,1947
2007,11,4,16,1847
2007,11,4,17,1666
2007,11,4,18,1463
2007,11,4,19,1302
2007,11,4,20,1223
2007,11,4,21,1271
2007,11,4,22,1449
2007,11,4,23,1716
2007,11,5,0,2007
2007,11,5,1,2226
2007,11,5,2,2353
2007,11,5,3,2341
2007,11,5,4,2189
2007,11,5,5,1922
2007,11,5,6,1588
2007,11,5,7,1249
2007,11,5,8,992
2007,11,5,9,894
2007,11,5,10,946
2007,11,5,11,1137
2007,11,5,12,1432
2007,11,5,13,1709
2007,11,5,14,1962
2007,11,5,15,2065
2007,11,5,16,2067
2007,11,5,17,1943
2007,11,5,18,1731
2007,11,5,19,1539
2007,11,5,20,1360
2007,11,5,21,1310
2007,11,5,22,1374
2007,11,5,23,1569
2007,11,6,0,1851
2007,11,6,1,2107
2007,11,6,2,2314
2007,11,6,3,2380
2007,11,6,4,2283
2007,11,6,5,2038
2007,11,6,6,1693
2007,11,6,7,1316
2007,11,6,8,1000
2007,11,6,9,787
2007,11,6,10,750
2007,11,6,11,900
2007,11,6,12,1200
2007,11,6,13,1562
2007,11,6,14,1916
2007,11,6,15,2164
2007,11,6,16,2255
2007,11,6,17,2211
2007,11,6,18,2029
2007,11,6,19,1789
2007,11,6,20,1556
2007,11,6,21,1409
2007,11,6,22,1371
2007,11,6,23,1464
2007,11,7,0,1689
2007,11,7,1,1969
2007,11,7,2,2219
2007,11,7,3,2358
2007,11,7,4,2326
2007,11,7,5,2159
2007,11,7,6,1806
2007,11,7,7,1382
2007,11,7,8,998
2007,11,7,9,689
2007,11,7,10,551
2007,11,7,11,619
2007,11,7,12,885
2007,11,7,13,1289
2007,11,7,14,1718
2007,11,7,15,2077
2007,11,7,16,2290
2007,11,7,17,2328
2007,11,7,18,2205
2007,11,7,19,1976
2007,11,7,20,1716
2007,11,7,21,1487
2007,11,7,22,1389
2007,11,7,23,1403
2007,11,8,0,1539
2007,11,8,1,1791
2007,11,8,2,2053
2007,11,8,3,2252
2007,11,8,4,2317
2007,11,8,5,2174
2007,11,8,6,1883
2007,11,8,7,1470
2007,11,8,8,1017
2007,11,8,9,646
2007,11,8,10,431
2007,11,8,11,434
2007,11,8,12,651
2007,11,8,13,1034
2007,11,8,14,1517
2007,11,8,15,1947
2007,11,8,16,2280
2007,11,8,17,2405
2007,11,8,18,2363
2007,11,8,19,2190
2007,11,8,20,1907
2007,11,8,21,1659
2007,11,8,22,1469
2007,11,8,23,1407
2007,11,9,0,1462
2007,11,9,1,1669
2007,11,9,2,1936
2007,11,9,3,2156
2007,11,9,4,2281
2007,11,9,5,2228
2007,11,9,6,1979
2007,11,9,7,1570
2007,11,9,8,1113
2007,11,9,9,685
2007,11,9,10,386
2007,11,9,11,294
2007,11,9,12,426
2007,11,9,13,776
2007,11,9,14,1250
2007,11,9,15,1747
2007,11,9,16,2167
2007,11,9,17,2418
2007,11,9,18,2470
2007,11,9,19,2358
2007,11,9,20,2109
2007,11,9,21,1835
2007,11,9,22,1589
2007,11,9,23,1443
2007,11,10,0,1468
2007,11,10,1,1622
